Gender,SeniorCitizen,Partner,Dependents,Tenure,MonthlyCharges,TotalCharges,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,Churn
Female,0,Yes,Yes,26,84.44,7271.3,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No
Female,1,Yes,No,66,95.75,182.26,DSL,No,Yes,Yes,No,Month-to-month,No,Mailed check,Yes
Male,0,Yes,Yes,63,31.8,2881.3,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,No
Male,0,Yes,Yes,41,103.32,1652.25,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,No
Female,0,No,No,58,90.56,5342.45,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,Yes
Female,1,Yes,No,10,77.73,2362.85,Fiber optic,No,No,No,Yes,One year,Yes,Bank transfer,No
Female,0,Yes,No,15,108.97,2405.09,Fiber optic,No,No,Yes,Yes,Two year,No,Bank transfer,No
Female,0,No,Yes,42,90.03,4446.21,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,No
Female,0,Yes,Yes,57,40.17,5908.93,No,No,No,No,Yes,Month-to-month,No,Electronic check,Yes
Male,0,No,Yes,17,62.97,1179.61,Fiber optic,Yes,Yes,No,No,One year,No,Credit card,No
Female,0,No,Yes,60,69.4,1662.05,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,No
Male,0,Yes,No,9,25.52,2299.86,DSL,No,No,No,No,Two year,No,Mailed check,No
Male,0,No,Yes,36,115.46,8766.36,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes
Male,0,No,Yes,36,32.86,3634.66,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,No
Female,0,No,No,48,89.75,5431.01,DSL,Yes,No,No,Yes,One year,Yes,Mailed check,No
Male,0,No,No,51,70.62,2249.73,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,No
Male,0,Yes,No,70,22.56,4465.09,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card,Yes
Female,0,No,Yes,68,112.47,759.66,No,Yes,No,No,Yes,One year,Yes,Electronic check,No
Male,0,Yes,Yes,22,105.18,409.21,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,Yes
Male,0,No,Yes,6,72.43,4271.73,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,No
Female,0,No,Yes,26,42.89,3648.07,DSL,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,No
Male,0,No,Yes,3,32.16,1318.23,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer,Yes
Male,0,Yes,No,52,56.34,6219.65,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,No
Male,0,Yes,No,60,45.54,8936.84,Fiber optic,No,No,No,No,Two year,No,Mailed check,No
Female,0,Yes,Yes,63,70.67,3621.26,Fiber optic,No,No,No,Yes,One year,Yes,Mailed check,No
Female,0,No,Yes,65,116.64,5658.57,DSL,Yes,No,No,Yes,One year,No,Bank transfer,No
Female,0,No,Yes,52,77.5,8670.49,DSL,Yes,No,No,Yes,One year,No,Mailed check,No
Male,0,No,Yes,14,108.99,7500.66,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,Yes
Male,0,No,Yes,72,85.09,4225.61,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,Yes
Female,0,Yes,No,68,67.52,6663.66,DSL,Yes,Yes,No,Yes,One year,No,Credit card,No
Male,0,No,No,28,105.46,1240.4,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,No
Male,1,Yes,No,71,67.14,4657.72,DSL,No,Yes,Yes,No,Two year,Yes,Electronic check,No
Female,0,No,Yes,10,106.86,2583.64,DSL,Yes,No,Yes,Yes,Two year,Yes,Credit card,Yes
Female,0,Yes,Yes,57,49.16,1534.36,No,No,No,Yes,Yes,Two year,No,Electronic check,No
Male,0,Yes,No,66,32.88,3893.9,No,No,No,No,No,Month-to-month,Yes,Credit card,No
Male,0,No,No,50,105.53,1266.03,No,Yes,No,Yes,No,One year,No,Credit card,No
Male,0,No,Yes,14,78.74,6320.97,No,No,Yes,Yes,Yes,Two year,No,Bank transfer,No
Female,0,Yes,No,16,108.91,4160.54,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,Yes
Female,0,No,No,54,113.78,4827.19,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,Yes
Female,1,No,Yes,43,25.36,1402.75,DSL,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,No
Female,0,Yes,No,42,70.1,1343.97,DSL,No,No,Yes,Yes,One year,Yes,Credit card,No
Male,0,Yes,No,22,57.5,5292.4,DSL,No,No,Yes,No,Month-to-month,Yes,Bank transfer,No
Female,0,Yes,No,68,82.59,8866.59,Fiber optic,No,No,No,Yes,One year,Yes,Electronic check,No
Female,0,Yes,Yes,19,99.36,956.63,No,Yes,Yes,No,Yes,One year,Yes,Credit card,No
Female,0,No,No,66,48.06,2643.01,DSL,No,Yes,Yes,Yes,One year,No,Electronic check,No
Female,0,Yes,No,39,75.68,7838.19,Fiber optic,Yes,No,No,Yes,One year,No,Mailed check,No
Female,0,Yes,No,19,90.87,743.22,DSL,No,No,No,Yes,Month-to-month,No,Bank transfer,Yes
Male,0,Yes,Yes,16,33.44,7895.38,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card,No
Male,0,No,Yes,54,101.41,4766.15,No,No,No,No,Yes,Month-to-month,No,Electronic check,Yes
Female,0,Yes,No,25,80.61,3733.57,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,No
Male,0,No,Yes,18,114.95,2856.16,No,No,Yes,No,Yes,Two year,No,Bank transfer,No
Female,1,Yes,No,23,53.95,2744.34,DSL,No,Yes,No,No,One year,No,Electronic check,No
Female,1,Yes,Yes,11,30.81,2821.64,No,Yes,No,Yes,No,One year,No,Credit card,No
Male,0,No,Yes,39,70.65,7974.75,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,No
Male,0,Yes,No,68,28.58,6541.78,DSL,Yes,No,Yes,Yes,One year,Yes,Bank transfer,No
Female,0,Yes,No,25,116.95,6060.53,DSL,No,No,No,Yes,One year,Yes,Electronic check,No
Female,0,No,No,63,23.87,7208.87,Fiber optic,No,Yes,No,Yes,Two year,Yes,Mailed check,No
Female,1,Yes,Yes,30,95.35,2388.32,No,No,Yes,No,Yes,One year,No,Bank transfer,No
Male,0,Yes,No,45,72.51,5600.58,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Credit card,No
Female,0,Yes,Yes,61,56.86,4194.59,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,No
Female,0,Yes,Yes,51,26.58,7063.73,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,No
Female,0,No,No,9,82.22,2852.38,DSL,No,Yes,Yes,No,Month-to-month,No,Credit card,Yes
Male,0,Yes,Yes,2,78.52,5824.29,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,Yes
Female,1,No,No,5,48.09,7951.69,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,Yes
Female,0,Yes,Yes,62,111.02,3679.14,Fiber optic,Yes,No,No,No,One year,No,Mailed check,No
Male,0,No,No,69,50.41,692.94,Fiber optic,No,No,No,No,One year,No,Bank transfer,No
Female,1,Yes,Yes,52,64.97,4692.85,DSL,Yes,No,Yes,No,One year,Yes,Credit card,No
Female,0,No,Yes,5,74.38,3179.16,DSL,No,Yes,No,No,One year,No,Mailed check,No
Male,0,Yes,No,59,30.02,6082.81,No,No,Yes,No,No,One year,Yes,Bank transfer,No
Female,0,No,Yes,68,113.22,8564.19,DSL,No,Yes,No,No,Two year,Yes,Electronic check,No
Male,0,No,No,9,57.45,4421.91,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,Yes
Male,1,Yes,Yes,22,28.08,4249.09,DSL,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,No
Female,0,No,Yes,27,58.73,5925.8,DSL,Yes,Yes,Yes,No,Two year,No,Credit card,No
Female,1,Yes,Yes,10,80.02,1021.13,DSL,Yes,No,No,No,Two year,No,Bank transfer,Yes
Female,0,Yes,No,61,71.37,2356.21,No,No,Yes,No,No,One year,Yes,Bank transfer,No
Female,1,Yes,No,51,89.45,8278.92,DSL,No,Yes,Yes,Yes,One year,No,Electronic check,No
Male,0,Yes,No,10,25.55,6062.49,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,Yes
Female,0,Yes,No,6,48.45,219.65,No,Yes,Yes,Yes,No,One year,No,Electronic check,No
Male,0,No,No,62,101.92,1921.17,DSL,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,Yes
Female,1,Yes,Yes,5,27.99,6177.25,No,Yes,No,No,No,One year,Yes,Electronic check,No
Female,0,Yes,Yes,70,105.55,6903.15,DSL,No,No,Yes,No,One year,Yes,Credit card,No
Female,0,Yes,No,63,29.19,7574.75,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,No
Male,0,Yes,Yes,56,103.45,2700.37,Fiber optic,Yes,Yes,No,No,Two year,Yes,Bank transfer,No
Female,0,Yes,Yes,59,56.08,8386.15,No,No,No,No,Yes,Two year,Yes,Mailed check,No
Female,1,Yes,Yes,63,81.22,5021.23,Fiber optic,No,Yes,No,Yes,One year,Yes,Electronic check,No
Female,0,No,Yes,59,35.29,6299.2,DSL,Yes,No,Yes,Yes,Two year,Yes,Electronic check,No
Female,0,No,No,51,26.62,5410.98,No,Yes,No,Yes,No,One year,Yes,Mailed check,No
Male,0,Yes,Yes,50,41.59,1192.39,DSL,No,Yes,No,No,Two year,Yes,Bank transfer,No
Female,0,No,No,4,32.79,8671.72,No,Yes,No,No,Yes,Two year,Yes,Credit card,No
Male,0,Yes,No,48,51.24,1193.59,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,No
Male,0,Yes,Yes,32,71.44,2368.45,No,Yes,No,Yes,No,Two year,No,Mailed check,No
Male,0,Yes,No,51,78.88,7341.29,No,No,No,No,Yes,One year,No,Electronic check,No
Male,0,Yes,Yes,52,98.99,5605.51,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,Yes
Male,0,Yes,Yes,34,85.62,7559.53,Fiber optic,Yes,No,Yes,Yes,Two year,No,Electronic check,No
Male,0,No,Yes,36,80.88,4690.05,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,Yes
Female,0,No,No,70,61.18,3455.24,No,No,No,Yes,No,Two year,No,Bank transfer,No
Male,0,No,No,43,67.38,8304.42,Fiber optic,No,No,Yes,No,One year,Yes,Mailed check,No
Male,0,No,No,16,61.45,422.65,No,Yes,Yes,Yes,No,One year,No,Bank transfer,No
Male,1,Yes,Yes,59,104.22,7719.56,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card,Yes
Female,1,No,Yes,53,43.0,2154.28,No,No,No,Yes,Yes,Two year,No,Electronic check,No
Female,0,Yes,Yes,19,20.57,7653.75,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,No
Male,0,No,No,41,85.13,1338.85,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,Yes
Female,1,No,Yes,47,40.25,5263.95,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,No
Male,0,No,Yes,54,109.01,8004.16,No,No,Yes,No,No,One year,No,Electronic check,No
Male,0,No,No,55,105.9,4314.5,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
Female,0,Yes,No,19,27.67,6744.44,Fiber optic,No,No,No,No,Two year,No,Bank transfer,No
Male,0,No,No,62,30.64,7261.58,No,No,No,No,Yes,Month-to-month,No,Electronic check,No
Female,0,No,Yes,59,69.52,6654.8,DSL,No,No,No,No,One year,Yes,Bank transfer,No
Female,0,Yes,Yes,65,80.92,8335.43,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,Yes
Male,1,Yes,Yes,68,47.49,4076.82,Fiber optic,Yes,No,Yes,Yes,Two year,No,Credit card,No
Male,1,No,No,28,91.68,1640.82,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
Female,0,Yes,No,18,79.49,525.52,No,No,Yes,Yes,No,Month-to-month,No,Credit card,No
Male,0,Yes,No,26,52.48,2293.49,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,No
Male,0,Yes,No,19,22.54,1374.46,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,No
Male,0,No,Yes,55,95.02,5065.74,Fiber optic,Yes,Yes,No,Yes,One year,No,Mailed check,No
Female,0,Yes,Yes,57,41.48,1746.01,Fiber optic,Yes,No,Yes,No,One year,No,Bank transfer,No
Female,0,No,Yes,6,103.45,446.51,Fiber optic,Yes,No,Yes,No,One year,Yes,Credit card,Yes
Male,1,No,Yes,1,62.03,420.31,Fiber optic,Yes,No,Yes,No,Two year,Yes,Electronic check,No
Female,0,No,Yes,8,77.71,7500.97,Fiber optic,Yes,Yes,No,No,Two year,No,Bank transfer,No
Female,0,No,Yes,51,107.29,5363.9,No,Yes,Yes,No,Yes,One year,No,Bank transfer,No
Female,1,Yes,Yes,25,106.36,3286.96,DSL,Yes,Yes,No,Yes,One year,No,Bank transfer,No
Female,0,No,Yes,47,57.15,8058.63,No,No,Yes,No,Yes,One year,Yes,Bank transfer,No
Female,0,Yes,No,55,40.89,724.75,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,No
Male,0,No,No,64,97.51,8824.87,Fiber optic,Yes,No,Yes,Yes,Two year,No,Mailed check,No
Male,0,Yes,Yes,10,63.31,5585.0,DSL,No,Yes,No,Yes,Month-to-month,No,Bank transfer,Yes
Male,0,No,No,56,39.2,1732.83,DSL,Yes,Yes,No,No,One year,Yes,Mailed check,No
Female,0,Yes,Yes,12,110.44,6143.71,No,Yes,Yes,Yes,Yes,Two year,No,Credit card,No
Female,0,No,Yes,33,39.81,6894.09,DSL,No,Yes,No,No,One year,No,Electronic check,No
Male,1,No,No,71,22.58,3921.15,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,No
Female,0,Yes,Yes,17,22.03,7768.53,No,No,No,No,Yes,Two year,Yes,Electronic check,No
Male,0,No,Yes,61,82.23,1441.52,No,No,Yes,No,No,Month-to-month,No,Electronic check,Yes
Male,0,No,Yes,10,86.17,2581.65,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,Yes
Male,0,No,Yes,31,51.1,932.08,Fiber optic,No,No,No,Yes,One year,No,Mailed check,No
Female,0,Yes,Yes,60,52.0,1976.81,DSL,No,No,Yes,No,Two year,No,Mailed check,No
Female,0,No,Yes,70,53.95,2224.69,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,No
Male,0,No,Yes,17,88.02,8266.94,Fiber optic,No,Yes,No,No,Month-to-month,No,Credit card,Yes
Male,0,Yes,No,50,25.81,795.18,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Mailed check,No
Male,0,Yes,No,37,112.91,3903.99,No,No,Yes,Yes,No,Month-to-month,No,Credit card,Yes
Male,0,Yes,Yes,62,42.25,4838.35,No,No,Yes,No,No,One year,No,Mailed check,No
Female,0,Yes,No,72,119.97,8098.37,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,Yes
Female,1,Yes,Yes,29,37.15,8979.5,Fiber optic,No,Yes,No,No,One year,Yes,Electronic check,No
Male,0,No,Yes,32,97.15,6805.15,DSL,Yes,Yes,Yes,No,Two year,No,Bank transfer,No
Male,0,No,Yes,11,42.34,8740.04,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,Yes
Female,0,No,Yes,6,28.08,7105.2,No,Yes,No,No,Yes,Two year,Yes,Mailed check,No
Female,0,Yes,No,35,107.49,8672.5,Fiber optic,No,No,Yes,No,Two year,Yes,Bank transfer,No
Male,0,No,No,33,105.88,6394.71,DSL,Yes,No,No,No,One year,Yes,Bank transfer,No
Male,0,Yes,No,18,60.36,809.89,DSL,No,No,No,No,Month-to-month,Yes,Credit card,No
Male,0,Yes,No,37,90.24,3677.09,Fiber optic,Yes,No,No,Yes,One year,Yes,Bank transfer,No
Female,0,No,Yes,13,75.71,5854.72,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,No
Female,0,Yes,No,64,105.3,3221.39,DSL,Yes,No,No,No,Two year,Yes,Electronic check,No
Female,0,Yes,Yes,1,51.51,2533.12,No,Yes,No,No,No,One year,Yes,Credit card,No
Male,0,No,Yes,63,72.37,5238.85,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,Yes
Male,1,Yes,No,34,68.54,8408.17,DSL,No,Yes,No,No,Two year,No,Bank transfer,No
Female,0,Yes,Yes,10,55.39,411.34,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Mailed check,No
Female,0,No,No,7,109.15,6946.16,No,Yes,Yes,No,Yes,One year,No,Bank transfer,Yes
Male,0,Yes,No,56,36.59,6532.27,DSL,Yes,No,No,No,One year,No,Bank transfer,No
Female,0,Yes,No,37,34.95,8679.19,Fiber optic,No,Yes,No,No,One year,No,Electronic check,No
Female,0,No,No,29,77.69,8383.33,Fiber optic,No,Yes,No,Yes,Two year,No,Credit card,No
Male,0,No,No,12,85.75,6883.87,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Electronic check,No
Female,0,No,Yes,17,39.46,4731.64,Fiber optic,No,Yes,No,No,Two year,Yes,Credit card,No
Male,0,No,No,48,59.07,1917.98,Fiber optic,Yes,Yes,No,No,Two year,Yes,Electronic check,No
Male,0,Yes,No,26,114.66,4952.6,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,Yes
Male,0,Yes,Yes,12,44.66,6911.63,DSL,Yes,No,No,Yes,Two year,Yes,Bank transfer,No
Male,0,No,No,21,86.84,8071.46,No,No,No,Yes,Yes,One year,No,Electronic check,No
Male,0,Yes,No,42,94.01,7128.44,No,Yes,Yes,No,No,One year,No,Electronic check,No
Male,0,Yes,Yes,61,64.81,1837.88,Fiber optic,No,Yes,Yes,Yes,One year,No,Credit card,No
Male,0,No,Yes,58,113.75,5437.21,Fiber optic,No,No,Yes,No,One year,Yes,Electronic check,No
Female,0,No,No,54,93.67,3056.34,No,No,No,No,Yes,Month-to-month,No,Bank transfer,Yes
Male,0,Yes,Yes,34,65.79,181.93,DSL,No,No,Yes,Yes,One year,No,Electronic check,No
Male,0,No,No,7,76.93,1881.97,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Mailed check,No
Female,1,No,Yes,35,89.26,1107.66,No,Yes,No,No,No,One year,Yes,Mailed check,No
Female,0,No,No,15,79.22,7600.2,No,No,No,No,No,Two year,No,Credit card,No
Female,0,Yes,No,65,107.87,2400.71,Fiber optic,Yes,No,No,Yes,Two year,Yes,Credit card,No
Male,0,No,No,25,55.69,2633.81,No,No,No,No,No,Month-to-month,No,Mailed check,Yes
Female,0,Yes,Yes,59,49.99,8643.44,DSL,Yes,No,No,Yes,Month-to-month,No,Electronic check,No
Male,0,Yes,No,6,41.38,3473.87,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,Yes
Male,0,Yes,Yes,52,23.78,185.31,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Credit card,No
Male,1,No,No,21,24.3,2626.23,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Bank transfer,No
Male,0,No,No,71,107.01,1161.77,No,Yes,Yes,No,No,Two year,No,Electronic check,No
Female,0,No,No,32,87.84,1015.0,No,Yes,No,Yes,Yes,Two year,No,Mailed check,No
Female,1,No,No,53,86.05,789.64,Fiber optic,No,No,Yes,No,Two year,No,Bank transfer,No
Male,0,No,No,59,81.46,5380.01,DSL,Yes,Yes,Yes,Yes,One year,No,Bank transfer,No
Male,0,Yes,Yes,69,104.92,1785.19,No,Yes,Yes,Yes,No,One year,No,Electronic check,No
Male,0,Yes,Yes,62,68.03,3315.06,DSL,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,No
Female,0,Yes,Yes,4,107.04,7771.96,DSL,No,Yes,Yes,Yes,Month-to-month,No,Credit card,Yes
Male,0,No,No,18,55.94,3876.61,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,No
Male,1,Yes,No,56,112.67,8249.65,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Credit card,Yes
Female,0,Yes,Yes,24,89.87,4531.65,Fiber optic,Yes,No,Yes,No,One year,Yes,Electronic check,No
Female,0,No,No,66,45.72,3649.65,DSL,No,No,Yes,Yes,Two year,No,Bank transfer,No
Male,0,No,No,13,76.41,6778.46,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Mailed check,No
Female,0,Yes,No,62,73.3,751.26,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Mailed check,No
Female,1,Yes,Yes,54,33.79,896.36,DSL,No,No,Yes,Yes,One year,Yes,Credit card,No
Male,0,No,Yes,15,79.12,5902.57,DSL,Yes,Yes,No,No,Two year,No,Credit card,No
Female,0,No,Yes,69,51.48,4433.77,DSL,Yes,No,Yes,No,One year,Yes,Electronic check,No
Male,0,No,Yes,3,25.23,7134.7,DSL,No,Yes,Yes,No,Two year,No,Bank transfer,No
Female,0,No,Yes,37,114.87,8254.81,No,No,No,No,Yes,Month-to-month,No,Credit card,Yes
Male,0,Yes,No,37,84.15,3556.47,Fiber optic,Yes,Yes,Yes,No,One year,No,Credit card,No
Male,0,Yes,No,3,107.69,5408.05,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,Yes
Male,0,No,No,63,87.61,4556.2,DSL,No,No,No,Yes,Month-to-month,Yes,Bank transfer,Yes
Female,0,Yes,No,35,55.7,8836.33,DSL,No,No,No,No,Two year,Yes,Bank transfer,No
Male,0,Yes,Yes,52,71.27,7496.65,DSL,No,Yes,Yes,Yes,Two year,No,Credit card,No
Female,0,No,Yes,28,87.57,8214.47,DSL,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,Yes
Male,0,Yes,No,18,116.03,2363.63,DSL,Yes,No,No,No,Two year,No,Bank transfer,No
Male,0,Yes,Yes,36,45.37,6975.49,Fiber optic,No,Yes,Yes,No,Two year,No,Bank transfer,No
Female,0,Yes,No,33,107.5,2462.71,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,Yes
Male,0,No,No,64,112.41,1957.81,No,No,No,No,No,Month-to-month,No,Bank transfer,Yes
Male,0,No,No,26,87.04,8503.97,Fiber optic,No,No,No,Yes,Two year,No,Mailed check,No
Female,0,Yes,No,48,113.13,271.81,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Bank transfer,Yes
Male,0,No,Yes,40,59.79,8691.96,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Bank transfer,No
Male,0,No,No,17,115.3,1428.43,No,Yes,Yes,No,No,Two year,Yes,Bank transfer,No
Male,1,No,Yes,40,90.28,7393.0,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card,No
Male,0,Yes,No,7,24.2,2555.71,DSL,No,No,Yes,No,One year,No,Credit card,No
Female,0,Yes,No,57,110.69,3221.25,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,Yes
Female,0,No,No,8,68.45,2029.14,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,No
Male,0,Yes,No,56,66.03,5311.07,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,No
Female,0,Yes,Yes,31,76.65,3198.05,No,No,Yes,Yes,No,Two year,Yes,Bank transfer,No
Male,0,Yes,No,59,34.94,5950.8,DSL,No,Yes,Yes,No,Month-to-month,No,Electronic check,No
Female,1,Yes,Yes,58,66.92,239.26,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,No
Male,0,Yes,No,12,103.11,672.94,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Credit card,No
Male,1,No,No,48,21.55,986.98,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,No
Male,0,Yes,No,31,47.29,3829.04,DSL,Yes,No,No,No,One year,No,Credit card,No
Male,0,Yes,Yes,63,20.25,7351.69,DSL,No,Yes,No,Yes,One year,No,Electronic check,No
Male,1,Yes,No,39,61.57,8004.78,No,Yes,Yes,No,No,Two year,Yes,Electronic check,No
Male,0,No,No,20,92.83,2278.82,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,Yes
Female,0,No,No,48,99.88,5211.89,DSL,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,No
Male,0,No,No,71,114.52,6938.45,Fiber optic,No,Yes,Yes,Yes,Two year,No,Mailed check,No
Female,0,Yes,No,54,80.85,2670.58,Fiber optic,Yes,No,No,No,Two year,Yes,Credit card,No
Male,0,No,Yes,71,45.46,3740.17,No,No,Yes,Yes,Yes,Two year,No,Mailed check,No
Female,0,No,Yes,29,112.41,4763.37,No,No,No,No,Yes,One year,Yes,Credit card,No
Female,0,No,No,48,97.53,1300.39,No,No,No,Yes,No,One year,Yes,Bank transfer,No
Female,0,No,No,56,77.44,331.24,No,No,Yes,No,Yes,One year,Yes,Credit card,No
Male,0,Yes,Yes,17,89.56,1459.97,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Credit card,No
Male,0,No,No,9,112.43,5679.0,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,Yes
Female,0,No,Yes,34,91.24,755.2,No,No,No,Yes,No,One year,No,Credit card,No
Male,0,Yes,No,45,56.84,1788.3,DSL,Yes,No,No,Yes,Two year,Yes,Mailed check,No
Female,0,Yes,No,9,91.3,3106.9,No,No,No,Yes,No,Month-to-month,No,Credit card,Yes
Male,0,No,Yes,7,24.03,793.04,DSL,No,Yes,Yes,Yes,One year,No,Bank transfer,No
Female,0,Yes,No,16,58.64,1806.12,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,No
Female,0,No,Yes,19,60.63,8210.3,No,No,Yes,No,No,Two year,Yes,Mailed check,No
Male,0,Yes,Yes,6,36.68,271.76,DSL,Yes,Yes,No,Yes,One year,Yes,Bank transfer,No
Female,0,Yes,Yes,11,22.31,5915.54,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,Yes
Male,0,No,No,61,33.34,3521.24,DSL,No,Yes,No,No,One year,Yes,Credit card,No
Female,0,Yes,Yes,42,85.46,6086.57,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
Female,0,No,Yes,13,100.23,5339.36,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,Yes
Male,0,Yes,No,12,118.82,2089.14,Fiber optic,Yes,Yes,No,No,Two year,Yes,Electronic check,No
Male,0,No,No,20,54.64,7640.16,DSL,No,Yes,Yes,Yes,Two year,No,Credit card,No
Male,0,Yes,No,50,79.94,4478.27,DSL,No,No,Yes,No,One year,No,Bank transfer,No
Female,1,Yes,No,36,113.71,7420.57,Fiber optic,Yes,No,Yes,No,One year,Yes,Mailed check,No
Male,1,Yes,No,69,36.7,3713.51,No,No,No,Yes,No,Month-to-month,No,Electronic check,Yes
Female,0,Yes,No,37,91.76,8863.7,DSL,No,Yes,No,No,Two year,No,Bank transfer,No
Female,0,Yes,Yes,12,95.5,6957.36,Fiber optic,No,No,Yes,Yes,Two year,No,Bank transfer,No
Male,0,No,No,40,28.9,8696.96,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,No
Male,0,Yes,Yes,54,106.12,4677.51,Fiber optic,No,No,No,Yes,Two year,No,Electronic check,No
Female,0,No,No,2,101.31,4315.85,Fiber optic,No,No,Yes,Yes,Two year,Yes,Mailed check,Yes
Female,0,No,Yes,50,23.34,6823.54,DSL,Yes,No,No,Yes,Month-to-month,No,Credit card,Yes
